"date","region_municipality_code","weeknumber","RNA_value","municipality_name","population","Total_reported","Hospital_admission","Deceased","reported_norm","hospital_norm","deceased_norm"
2020-09-07,"GM0268","37",4771981015000,"Nijmegen",177659,173,1,0,97.3775603825306,0.562876071575321,0
2020-09-07,"GM0269","37",6693187200000,"Oldebroek",23646,1,0,0,4.22904508162057,0,0
2020-09-07,"GM0273","37",837168402000,"Putten",24112,3,0,0,12.4419376244194,0,0
2020-09-07,"GM0274","37",2961822957000,"Renkum",31419,12,0,0,38.1934498233553,0,0
2020-09-07,"GM0275","37",181728000,"Rheden",43761,6,0,0,13.7108384177692,0,0
2020-09-07,"GM0277","37",NA,"Rozendaal",1704,0,0,0,0,0,0
2020-09-07,"GM0279","37",783787084500,"Scherpenzeel",9880,0,0,0,0,0,0
2020-09-07,"GM0281","37",338611110000,"Tiel",42159,13,0,0,30.8356460067838,0,0
2020-09-07,"GM0285","37",547489788666.667,"Voorst",24552,0,0,0,0,0,0
2020-09-07,"GM0289","37",1224299828000,"Wageningen",39664,18,0,0,45.38120209762,0,0
2020-09-07,"GM0293","37",NA,"Westervoort",14971,2,0,0,13.3591610446864,0,0
2020-09-07,"GM0294","37",689928809000,"Winterswijk",28854,2,0,0,6.93144797948291,0,0
2020-09-07,"GM0296","37",1929257790000,"Wijchen",41110,11,0,0,26.7574799318901,0,0
2020-09-07,"GM0297","37",16949931950000,"Zaltbommel",28881,3,0,0,10.3874519580347,0,0
2020-09-07,"GM0299","37",0,"Zevenaar",43750,12,0,0,27.4285714285714,0,0
2020-09-07,"GM0301","37",5444311090666.67,"Zutphen",47934,4,0,0,8.34480744356824,0,0
2020-09-07,"GM0302","37",473107500,"Nunspeet",27851,6,0,0,21.5432120929231,0,0
2020-09-07,"GM0303","37",3883913704000,"Dronten",41555,3,0,0,7.21934785224401,0,0
2020-09-07,"GM0307","37",2107875354000,"Amersfoort",157276,69,1,0,43.8719194282662,0.635824919250235,0
2020-09-07,"GM0308","37",572652882000,"Baarn",24868,8,0,0,32.169856844137,0,0
2020-09-07,"GM0310","37",2797701146000,"De Bilt",43137,13,0,0,30.1365417159283,0,0
2020-09-07,"GM0312","37",3370590000,"Bunnik",15191,9,0,0,59.245605950892,0,0
2020-09-07,"GM0313","37",588091429000,"Bunschoten",21866,14,0,0,64.0263422665325,0,0
2020-09-07,"GM0317","37",2242484000,"Eemnes",9247,2,0,0,21.6286363144804,0,0
2020-09-07,"GM0321","37",3155708412000,"Houten",50146,18,0,0,35.8951860567144,0,0
2020-09-07,"GM0327","37",274388046666.667,"Leusden",30401,16,0,0,52.6298477023782,0,0
2020-09-07,"GM0331","37",23332640000,"Lopik",14467,5,1,0,34.5614156355844,6.91228312711689,0
2020-09-07,"GM0335","37",6882598550000,"Montfoort",13917,7,0,0,50.2981964503844,0,0
2020-09-07,"GM0339","37",49142605000,"Renswoude",5444,0,0,0,0,0,0
2020-09-07,"GM0340","37",6723145505500,"Rhenen",20119,3,0,0,14.9112778965157,0,0
2020-09-07,"GM0342","37",541946383000,"Soest",46606,16,0,0,34.3303437325666,0,0
2020-09-07,"GM0344","37",9026372917200,"Utrecht",357597,241,0,0,67.3943014063317,0,0
2020-09-07,"GM0345","37",585020697500,"Veenendaal",66493,10,0,0,15.0391770562315,0,0
2020-09-07,"GM0351","37",1052637107500,"Woudenberg",13362,4,0,0,29.9356383774884,0,0
2020-09-07,"GM0352","37",0,"Wijk bij Duurstede",23914,4,0,0,16.7266036631262,0,0
2020-09-07,"GM0353","37",4972768900000,"IJsselstein",34109,6,0,0,17.5906652203231,0,0
2020-09-07,"GM0355","37",1267891740800,"Zeist",64905,29,1,0,44.6806871581542,1.54071335028118,0
2020-09-07,"GM0356","37",4783530353000,"Nieuwegein",63462,17,0,0,26.787683968359,0,0
2020-09-07,"GM0358","37",870665089000,"Aalsmeer",31859,18,0,0,56.498948491792,0,0
2020-09-07,"GM0361","37",655896360000,"Alkmaar",109436,19,0,0,17.3617456778391,0,0
2020-09-07,"GM0362","37",5335644803333.33,"Amstelveen",91675,61,0,0,66.5394055085901,0,0
2020-09-07,"GM0363","37",16681078686666.7,"Amsterdam",872757,1154,18,2,132.224662764091,2.06242974848669,0.229158860942966
2020-09-07,"GM0370","37",NA,"Beemster",10022,5,0,0,49.8902414687687,0,0
2020-09-07,"GM0373","37",227778974000,"Bergen (NH,)",29839,4,0,0,13.4052749757029,0,0
2020-09-07,"GM0375","37",NA,"Beverwijk",41626,21,0,0,50.4492384567338,0,0
2020-09-07,"GM0376","37",NA,"Blaricum",11540,2,0,0,17.3310225303293,0,0
2020-09-07,"GM0377","37",521051825000,"Bloemendaal",23571,18,0,0,76.3650248186331,0,0
2020-09-07,"GM0383","37",NA,"Castricum",35986,8,0,0,22.2308675596065,0,0
2020-09-07,"GM0384","37",1095705755000,"Diemen",30780,32,0,0,103.963612735543,0,0
2020-09-07,"GM0385","37",1471040074000,"Edam-Volendam",36197,7,0,0,19.3386192225875,0,0
2020-09-07,"GM0388","37",567760611000,"Enkhuizen",18591,0,0,0,0,0,0
2020-09-07,"GM0392","37",4503948183000,"Haarlem",162902,76,3,0,46.6538164049551,1.84159801598507,0
2020-09-07,"GM0394","37",2134974691000,"Haarlemmermeer",156002,101,0,0,64.7427597082089,0,0
2020-09-07,"GM0396","37",NA,"Heemskerk",39182,16,0,0,40.8350773314277,0,0
2020-09-07,"GM0397","37",1.0925e+13,"Heemstede",27234,10,0,0,36.7188073731365,0,0
2020-09-07,"GM0398","37",701184442000,"Heerhugowaard",57587,21,0,0,36.4665636341535,0,0
2020-09-07,"GM0399","37",NA,"Heiloo",23968,4,0,0,16.6889185580774,0,0
2020-09-07,"GM0400","37",5345098014000,"Den Helder",56296,3,0,0,5.32897541566008,0,0
2020-09-07,"GM0402","37",NA,"Hilversum",90831,41,1,0,45.1387742070439,1.10094571236692,0
2020-09-07,"GM0405","37",2242024785000,"Hoorn",73261,27,0,0,36.8545337901475,0,0
2020-09-07,"GM0406","37",NA,"Huizen",41273,7,0,0,16.9602403508347,0,0
2020-09-07,"GM0415","37",4692530000,"Landsmeer",11491,9,0,0,78.3221651727439,0,0
2020-09-07,"GM0416","37",340218350000,"Langedijk",28163,6,0,0,21.3045485211093,0,0
2020-09-07,"GM0417","37",NA,"Laren",11280,1,0,0,8.86524822695035,0,0
2020-09-07,"GM0420","37",1373137524000,"Medemblik",45101,0,0,0,0,0,0
2020-09-07,"GM0431","37",2346265000,"Oostzaan",9735,1,0,0,10.2722136620442,0,0
