"date","region_municipality_code","weeknumber","RNA_value","municipality_name","Security_region_name","sum_population","Total_reported","Hospital_admission","Deceased","population","reported_norm","hospital_norm","deceased_norm"
2020-09-14,"VR17","38",9272865981083.33,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,1512,26,3,9264038,0.237522320225349,0.00408437852239356,0.000471274444891565
2020-09-14,"VR18","38",10351321262909.1,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,303,3,3,3215597,0.137130474047693,0.00135772746581875,0.00135772746581875
2020-09-14,"VR19","38",4949013186200,"Zeeland","Zeeland",184457728,90,1,0,2684416,0.048791666782321,0.000542129630914678,0
2020-09-14,"VR20","38",4954305208192,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,409,4,0,7833609,0.0759826403409074,0.000743106507001539,0
2020-09-14,"VR21","38",2966428899900,"Brabant-Noord","Brabant-Noord",312114647,298,0,0,4542209,0.0954777364229241,0,0
2020-09-14,"VR22","38",5172076514125,"Brabant-Zuidoost","Brabant-Zuidoost",375473891,341,1,1,5464277,0.0908185650650207,0.000266330102829973,0.000266330102829973
2020-09-14,"VR23","38",3762877005714.29,"Limburg-Noord","Limburg-Noord",250128177,135,1,2,3640119,0.0539723279556785,0.000399795021893915,0.00079959004378783
2020-09-14,"VR24","38",3282938396000,"Limburg-Zuid","Limburg-Zuid",287245504,133,3,0,4180288,0.046301856129313,0.00104440276983413,0
2020-09-14,"VR25","38",8260435821600,"Flevoland","Flevoland",203473101,226,4,1,2961147,0.111071192648703,0.0019658618167912,0.000491465454197801
2020-09-21,"VR01","39",7499141050468.75,"Groningen","Groningen",281643297,484,0,1,4098759,0.171848577670925,0,0.000355059044774639
2020-09-21,"VR02","39",3203174492166.67,"Fryslân","Fryslân",312629317,301,3,0,4549699,0.0962801578842332,0.000959602902500663,0
2020-09-21,"VR03","39",3006621845307.69,"Drenthe","Drenthe",237461042,284,1,4,3455774,0.119598565561756,0.000421121709724495,0.00168448683889798
2020-09-21,"VR04","39",3366920285370.27,"IJsselland","IJsselland",255575502,238,0,28,3719394,0.0931231663980063,0,0.0109556666350596
2020-09-21,"VR05","39",10690627533114.8,"Twente","Twente",303541784,373,6,0,4417448,0.122882588052523,0.0019766636147859,0
2020-09-21,"VR06","39",7173493682928,"Noord- en Oost-Gelderland","Noord- en Oost-Gelderland",398138611,466,7,0,5794117,0.117044664125781,0.00175818164995808,0
2020-09-21,"VR07","39",5983344345375,"Gelderland-Midden","Gelderland-Midden",335076625,543,5,0,4876375,0.162052485756057,0.00149219600143698,0
2020-09-21,"VR08","39",6852152654460,"Gelderland-Zuid","Gelderland-Zuid",270127676,619,8,4,3931172,0.229150899739722,0.00296156251683,0.001480781258415
2020-09-21,"VR09","39",18415659179552.6,"Utrecht","Utrecht",651675154,1458,14,5,9483838,0.223731101462248,0.00214830961623558,0.000767253434369849
2020-09-21,"VR10","39",4274048940166.67,"Noord-Holland-Noord","Noord-Holland-Noord",318781788,398,6,0,4639236,0.124850294145411,0.00188216523837303,0
2020-09-21,"VR11","39",8233240550666.67,"Zaanstreek-Waterland","Zaanstreek-Waterland",163146542,347,6,0,2374274,0.212692218753861,0.00367767525222815,0
2020-09-21,"VR12","39",19479371056000,"Kennemerland","Kennemerland",264524507,568,5,5,3849629,0.214724906377011,0.0018901840350089,0.0018901840350089
2020-09-21,"VR13","39",14448907810750,"Amsterdam-Amstelland","Amsterdam-Amstelland",934742692,2664,42,5,13603324,0.284998216386162,0.00449321512320526,0.000534906562286341
2020-09-21,"VR14","39",9522489622125,"Gooi en Vechtstreek","Gooi en Vechtstreek",123653075,262,0,5,1799525,0.211883125429756,0,0.00404357109598771
2020-09-21,"VR15","39",14082586624000,"Haaglanden","Haaglanden",537291911,2045,41,10,7819217,0.380612467474873,0.0076308612060977,0.00186118566002383
2020-09-21,"VR16","39",10322675935515.2,"Hollands-Midden","Hollands-Midden",389061660,1101,11,5,5662020,0.282988562789764,0.0028273153412238,0.00128514333691991
2020-09-21,"VR17","39",28014588803000,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,2217,19,10,9264038,0.348271814774867,0.00298473815097991,0.00157091481630522
2020-09-21,"VR18","39",14716233797941.2,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,432,4,3,3215597,0.1955127550779,0.00181030328775833,0.00135772746581875
2020-09-21,"VR19","39",1254498248125,"Zeeland","Zeeland",184457728,108,1,0,2684416,0.0585500001387852,0.000542129630914678,0
2020-09-21,"VR20","39",6069398099291.67,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,829,15,4,7833609,0.154008823576069,0.00278664940125577,0.000743106507001539
2020-09-21,"VR21","39",4145634892153.85,"Brabant-Noord","Brabant-Noord",312114647,534,4,2,4542209,0.171090977348461,0.00128158035467012,0.000640790177335061
2020-09-21,"VR22","39",10908721095363.6,"Brabant-Zuidoost","Brabant-Zuidoost",375473891,696,0,0,5464277,0.185365751569661,0,0
2020-09-21,"VR23","39",3167394376062.5,"Limburg-Noord","Limburg-Noord",250128177,204,5,1,3640119,0.0815581844663586,0.00199897510946957,0.000399795021893915
2020-09-21,"VR24","39",2680092299150,"Limburg-Zuid","Limburg-Zuid",287245504,195,2,0,4180288,0.0678861800392183,0.000696268513222752,0
2020-09-21,"VR25","39",9608746739428.57,"Flevoland","Flevoland",203473101,297,5,3,2961147,0.145965239896747,0.002457327270989,0.0014743963625934
2020-09-28,"VR01","40",7415936083461.54,"Groningen","Groningen",281643297,720,1,0,4098759,0.25564251223774,0.000355059044774639,0
2020-09-28,"VR02","40",6235056876620,"Fryslân","Fryslân",312629317,561,3,0,4549699,0.179445742767624,0.000959602902500663,0
2020-09-28,"VR03","40",7628777062896,"Drenthe","Drenthe",237461042,417,3,6,3455774,0.175607752955114,0.00126336512917348,0.00252673025834697
2020-09-28,"VR04","40",10529630366000,"IJsselland","IJsselland",255575502,380,0,2,3719394,0.148684047190094,0,0.000782547616789969
2020-09-28,"VR05","40",16997368481235.3,"Twente","Twente",303541784,615,9,1,4417448,0.202608020515554,0.00296499542217885,0.00032944393579765
2020-09-28,"VR06","40",8198421753461.54,"Noord- en Oost-Gelderland","Noord- en Oost-Gelderland",398138611,580,2,1,5794117,0.145677908139384,0.000502337614273738,0.000251168807136869
2020-09-28,"VR07","40",14314989466368.4,"Gelderland-Midden","Gelderland-Midden",335076625,715,11,3,4876375,0.213384028205489,0.00328283120316137,0.000895317600862191
2020-09-28,"VR08","40",17363354612000,"Gelderland-Zuid","Gelderland-Zuid",270127676,827,8,4,3931172,0.306151525177302,0.00296156251683,0.001480781258415
2020-09-28,"VR09","40",21298946388454.5,"Utrecht","Utrecht",651675154,2152,25,9,9483838,0.330225878152783,0.00383626717184924,0.00138105618186573
2020-09-28,"VR10","40",11064866230833.3,"Noord-Holland-Noord","Noord-Holland-Noord",318781788,514,6,2,4639236,0.161238822087289,0.00188216523837303,0.000627388412791009
2020-09-28,"VR11","40",26703665532727.3,"Zaanstreek-Waterland","Zaanstreek-Waterland",163146542,497,7,1,2374274,0.304634100059565,0.00429062112759951,0.000612945875371358
2020-09-28,"VR12","40",19984212460769.2,"Kennemerland","Kennemerland",264524507,773,16,3,3849629,0.292222451812376,0.00604858891202848,0.00113411042100534
2020-09-28,"VR13","40",30123316570000,"Amsterdam-Amstelland","Amsterdam-Amstelland",934742692,2974,39,7,13603324,0.318162423247916,0.00417227118583346,0.000748869187200877
2020-09-28,"VR14","40",36209235597600,"Gooi en Vechtstreek","Gooi en Vechtstreek",123653075,328,2,2,1799525,0.265258263896794,0.00161742843839508,0.00161742843839508
2020-09-28,"VR15","40",30004021203333.3,"Haaglanden","Haaglanden",537291911,2558,43,9,7819217,0.476091291834096,0.00800309833810247,0.00167506709402145
2020-09-28,"VR16","40",23531263893478.3,"Hollands-Midden","Hollands-Midden",389061660,1344,9,5,5662020,0.345446528964072,0.00231325800645584,0.00128514333691991
2020-09-28,"VR17","40",25589575671111.1,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,3260,28,10,9264038,0.512118230115501,0.00439856148565461,0.00157091481630522
2020-09-28,"VR18","40",20478670377000,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,621,2,2,3215597,0.281049585424481,0.000905151643879165,0.000905151643879165
2020-09-28,"VR19","40",6850328836285.71,"Zeeland","Zeeland",184457728,167,1,0,2684416,0.0905356483627512,0.000542129630914678,0
2020-09-28,"VR20","40",13542286262266.7,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,1295,14,4,7833609,0.240580731641748,0.00260087277450539,0.000743106507001539
2020-09-28,"VR21","40",22773414076153.8,"Brabant-Noord","Brabant-Noord",312114647,689,5,0,4542209,0.220752216091929,0.00160197544333765,0
2020-09-28,"VR22","40",20054834111000,"Brabant-Zuidoost","Brabant-Zuidoost",375473891,950,0,2,5464277,0.253013597688474,0,0.000532660205659946
2020-09-28,"VR23","40",8438054845500,"Limburg-Noord","Limburg-Noord",250128177,445,4,2,3640119,0.177908784742792,0.00159918008757566,0.00079959004378783
