Date_of_report,Date_of_statistic_reported,Security_region_code,Security_region_name,Total_cases_reported,Total_deceased_reported,Total_new_infected_locations_reported,Total_infected_locations_reported
7/2/2021 10:00,10/3/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,10/4/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,10/5/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,10/6/2020,VR01,Groningen,1,0,0,1
7/2/2021 10:00,10/7/2020,VR01,Groningen,1,0,1,2
7/2/2021 10:00,10/8/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,10/9/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,10/10/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,10/11/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/12/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/13/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/14/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/15/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/16/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/17/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/18/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/19/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/20/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,10/21/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/22/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/23/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/24/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,10/25/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/26/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/27/2020,VR01,Groningen,0,0,1,3
7/2/2021 10:00,10/28/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,10/29/2020,VR01,Groningen,3,0,0,2
7/2/2021 10:00,10/30/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,10/31/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,11/1/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,11/2/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,11/3/2020,VR01,Groningen,2,0,0,1
7/2/2021 10:00,11/4/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,11/5/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,11/6/2020,VR01,Groningen,0,0,1,2
7/2/2021 10:00,11/7/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,11/8/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,11/9/2020,VR01,Groningen,1,0,0,2
7/2/2021 10:00,11/10/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,11/11/2020,VR01,Groningen,2,0,1,3
7/2/2021 10:00,11/12/2020,VR01,Groningen,0,0,0,3
7/2/2021 10:00,11/13/2020,VR01,Groningen,0,0,0,3
7/2/2021 10:00,11/14/2020,VR01,Groningen,1,0,0,3
7/2/2021 10:00,11/15/2020,VR01,Groningen,1,0,0,3
7/2/2021 10:00,11/16/2020,VR01,Groningen,0,0,0,3
7/2/2021 10:00,11/17/2020,VR01,Groningen,1,0,0,3
7/2/2021 10:00,11/18/2020,VR01,Groningen,3,0,0,3
7/2/2021 10:00,11/19/2020,VR01,Groningen,3,0,0,3
7/2/2021 10:00,11/20/2020,VR01,Groningen,2,0,1,4
7/2/2021 10:00,11/21/2020,VR01,Groningen,3,0,0,4
7/2/2021 10:00,11/22/2020,VR01,Groningen,0,0,1,5
7/2/2021 10:00,11/23/2020,VR01,Groningen,3,0,0,4
7/2/2021 10:00,11/24/2020,VR01,Groningen,1,0,0,4
7/2/2021 10:00,11/25/2020,VR01,Groningen,4,0,1,5
7/2/2021 10:00,11/26/2020,VR01,Groningen,2,0,0,5
7/2/2021 10:00,11/27/2020,VR01,Groningen,0,0,0,4
7/2/2021 10:00,11/28/2020,VR01,Groningen,0,0,0,4
7/2/2021 10:00,11/29/2020,VR01,Groningen,0,0,1,5
7/2/2021 10:00,11/30/2020,VR01,Groningen,0,0,0,5
7/2/2021 10:00,12/1/2020,VR01,Groningen,0,0,0,5
7/2/2021 10:00,12/2/2020,VR01,Groningen,2,0,0,5
7/2/2021 10:00,12/3/2020,VR01,Groningen,2,0,0,5
7/2/2021 10:00,12/4/2020,VR01,Groningen,1,0,0,5
7/2/2021 10:00,12/5/2020,VR01,Groningen,0,0,1,6
7/2/2021 10:00,12/6/2020,VR01,Groningen,2,0,1,7
7/2/2021 10:00,12/7/2020,VR01,Groningen,9,0,0,7
7/2/2021 10:00,12/8/2020,VR01,Groningen,1,0,0,7
7/2/2021 10:00,12/9/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,12/10/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,12/11/2020,VR01,Groningen,3,0,0,7
7/2/2021 10:00,12/12/2020,VR01,Groningen,2,0,0,7
7/2/2021 10:00,12/13/2020,VR01,Groningen,1,0,0,7
7/2/2021 10:00,12/14/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,12/15/2020,VR01,Groningen,7,0,0,7
7/2/2021 10:00,12/16/2020,VR01,Groningen,3,0,0,7
7/2/2021 10:00,12/17/2020,VR01,Groningen,2,0,3,10
7/2/2021 10:00,12/18/2020,VR01,Groningen,6,0,3,12
7/2/2021 10:00,12/19/2020,VR01,Groningen,1,0,0,11
7/2/2021 10:00,12/20/2020,VR01,Groningen,1,0,0,10
7/2/2021 10:00,12/21/2020,VR01,Groningen,8,0,0,10
7/2/2021 10:00,12/22/2020,VR01,Groningen,1,0,1,10
7/2/2021 10:00,12/23/2020,VR01,Groningen,5,0,0,10
7/2/2021 10:00,12/24/2020,VR01,Groningen,1,0,0,9
7/2/2021 10:00,12/25/2020,VR01,Groningen,3,0,1,10
7/2/2021 10:00,12/26/2020,VR01,Groningen,5,0,0,10
7/2/2021 10:00,12/27/2020,VR01,Groningen,0,0,0,10
7/2/2021 10:00,12/28/2020,VR01,Groningen,5,0,1,11
7/2/2021 10:00,12/29/2020,VR01,Groningen,2,0,1,12
7/2/2021 10:00,12/30/2020,VR01,Groningen,2,0,0,12
7/2/2021 10:00,12/31/2020,VR01,Groningen,0,0,0,12
7/2/2021 10:00,1/1/2021,VR01,Groningen,0,0,0,12
