Version,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_per_ml,RNA_flow_per_100000
1,5/5/2020,3010,Assen,0,
1,5/5/2020,27008,'S Hertogenbosch,273,
1,5/5/2020,28005,Dinther,581,
1,5/5/2020,2032,Harlingen,0,
1,5/5/2020,15005,Houtrust,293,
1,5/5/2020,2011,Leeuwarden,43,
1,5/5/2020,1008,Stadskanaal,334,
1,5/5/2020,32002,Tilburg,262,
1,5/5/2020,4027,Tollebeek,1125,
1,5/5/2020,10009,Utrecht,229,
1,5/5/2020,4026,Zwolle,113,
1,5/6/2020,12022,Beverwijk,18,
1,5/6/2020,7022,Etten,264,
1,5/6/2020,1033,Garmerwolde,385,
1,5/6/2020,25020,Kaatsheuvel,380,
1,5/6/2020,25027,Lage Zwaluwe,459,
1,5/6/2020,13030,Leimuiden,90,
1,5/6/2020,6004,Lelystad,335,
1,5/6/2020,30007,Bosscherveld,516,
1,5/6/2020,5012,Oldenzaal,38,
1,5/6/2020,3028,Sleen,0,
1,5/6/2020,23002,Terneuzen,651,
1,5/6/2020,30020,Venray,337,
1,5/6/2020,21001,Walcheren,105,
1,5/7/2020,9016,Arnhem,0,
1,5/7/2020,13010,Haarlem Waarderpolder,318,
1,5/9/2020,6004,Lelystad,222,
1,5/10/2020,10027,Amersfoort,0,
1,5/10/2020,27008,'S Hertogenbosch,405,
1,5/10/2020,28005,Dinther,260,
1,5/10/2020,29003,Land Van Cuijk,92,
1,5/11/2020,9016,Arnhem,15,
1,5/11/2020,1033,Garmerwolde,43,
1,5/11/2020,15005,Houtrust,680,
1,5/11/2020,13030,Leimuiden,24,
1,5/11/2020,32002,Tilburg,283,
1,5/11/2020,4027,Tollebeek,716,
1,5/11/2020,21001,Walcheren,51,
1,5/12/2020,3010,Assen,16,
1,5/12/2020,2032,Harlingen,0,
1,5/12/2020,2011,Leeuwarden,53,
1,5/12/2020,1008,Stadskanaal,0,
1,5/12/2020,10009,Utrecht,258,
1,5/12/2020,4026,Zwolle,108,
1,5/13/2020,12022,Beverwijk,47,
1,5/13/2020,27008,'S Hertogenbosch,76,
1,5/13/2020,7022,Etten,0,
1,5/13/2020,13010,Haarlem Waarderpolder,0,
1,5/13/2020,25020,Kaatsheuvel,42,
1,5/13/2020,25027,Lage Zwaluwe,102,
1,5/13/2020,30007,Bosscherveld,240,
1,5/13/2020,5012,Oldenzaal,165,
1,5/13/2020,3028,Sleen,535,
1,5/13/2020,23002,Terneuzen,146,
1,5/13/2020,30020,Venray,0,
1,5/15/2020,6004,Lelystad,265,
1,5/16/2020,21001,Walcheren,52,
1,5/17/2020,10027,Amersfoort,209,
1,5/17/2020,9016,Arnhem,89,
1,5/17/2020,27008,'S Hertogenbosch,188,
1,5/17/2020,28005,Dinther,165,
1,5/17/2020,15005,Houtrust,758,
1,5/17/2020,4027,Tollebeek,160,
1,5/18/2020,32002,Tilburg,211,
1,5/19/2020,3010,Assen,0,
1,5/19/2020,13010,Haarlem Waarderpolder,0,
1,5/19/2020,2032,Harlingen,0,
1,5/19/2020,29003,Land Van Cuijk,397,
1,5/19/2020,2011,Leeuwarden,0,
1,5/19/2020,1008,Stadskanaal,0,
1,5/19/2020,10009,Utrecht,297,
1,5/19/2020,4026,Zwolle,83,
1,5/20/2020,13030,Leimuiden,68,
1,5/21/2020,12022,Beverwijk,123,
1,5/21/2020,7022,Etten,2130,
1,5/21/2020,25020,Kaatsheuvel,428,
1,5/21/2020,25027,Lage Zwaluwe,0,
1,5/21/2020,6004,Lelystad,278,
1,5/21/2020,30007,Bosscherveld,968,
1,5/21/2020,5012,Oldenzaal,0,
1,5/21/2020,3028,Sleen,0,
1,5/21/2020,30020,Venray,0,
1,5/22/2020,1033,Garmerwolde,108,
1,5/22/2020,23002,Terneuzen,0,
1,5/22/2020,21001,Walcheren,0,
1,5/23/2020,4027,Tollebeek,63,
1,5/24/2020,10027,Amersfoort,0,
1,5/24/2020,15005,Houtrust,662,
1,5/25/2020,9016,Arnhem,731,
1,5/25/2020,13010,Haarlem Waarderpolder,0,
1,5/25/2020,29003,Land Van Cuijk,91,
1,5/25/2020,13030,Leimuiden,84,
1,5/25/2020,32002,Tilburg,173,
1,5/26/2020,3010,Assen,0,
1,5/26/2020,1033,Garmerwolde,0,
1,5/26/2020,2032,Harlingen,0,
1,5/26/2020,2011,Leeuwarden,0,
1,5/26/2020,1008,Stadskanaal,0,
1,5/26/2020,10009,Utrecht,514,
1,5/26/2020,4026,Zwolle,21,
1,5/27/2020,12022,Beverwijk,0,
1,5/27/2020,7022,Etten,0,
1,5/27/2020,6004,Lelystad,267,
1,5/27/2020,30007,Bosscherveld,2332,
1,5/27/2020,5012,Oldenzaal,0,
1,5/27/2020,3028,Sleen,0,
1,5/27/2020,30020,Venray,308,
1,5/28/2020,25020,Kaatsheuvel,60,
1,5/28/2020,25027,Lage Zwaluwe,44,
1,5/28/2020,23002,Terneuzen,45,
1,5/29/2020,3010,Assen,0,
1,5/29/2020,1008,Stadskanaal,50,
1,5/29/2020,4027,Tollebeek,56,
1,6/1/2020,10027,Amersfoort,0,
1,6/1/2020,13030,Leimuiden,0,
1,6/1/2020,5012,Oldenzaal,0,
1,6/1/2020,32002,Tilburg,437,
1,6/2/2020,13010,Haarlem Waarderpolder,0,
1,6/2/2020,2032,Harlingen,0,
1,6/2/2020,29003,Land Van Cuijk,487,
1,6/2/2020,6004,Lelystad,226,
1,6/2/2020,10009,Utrecht,0,
1,6/2/2020,4026,Zwolle,180,
1,6/3/2020,27008,'S Hertogenbosch,220,
1,6/3/2020,28005,Dinther,263,
1,6/3/2020,7022,Etten,196,
1,6/3/2020,1033,Garmerwolde,110,
1,6/3/2020,25020,Kaatsheuvel,417,
1,6/3/2020,30007,Bosscherveld,763,
1,6/3/2020,30020,Venray,263,
1,6/4/2020,9016,Arnhem,25,
1,6/4/2020,12022,Beverwijk,417,
1,6/4/2020,2011,Leeuwarden,0,
1,6/5/2020,15005,Houtrust,109,
1,6/5/2020,3028,Sleen,0,
1,6/6/2020,23002,Terneuzen,0,
1,6/6/2020,21001,Walcheren,19,
1,6/7/2020,10027,Amersfoort,56,
1,6/7/2020,13010,Haarlem Waarderpolder,0,
1,6/7/2020,4027,Tollebeek,35,
1,6/8/2020,1033,Garmerwolde,29,
1,6/8/2020,6004,Lelystad,456,
1,6/8/2020,32002,Tilburg,0,
1,6/9/2020,3010,Assen,0,
1,6/9/2020,27008,'S Hertogenbosch,112,
1,6/9/2020,28005,Dinther,143,
1,6/9/2020,13030,Leimuiden,0,
1,6/9/2020,1008,Stadskanaal,88,
1,6/9/2020,10009,Utrecht,128,
1,6/10/2020,9016,Arnhem,40,
1,6/10/2020,12022,Beverwijk,0,
1,6/10/2020,7022,Etten,0,
1,6/10/2020,15005,Houtrust,299,
1,6/10/2020,25027,Lage Zwaluwe,0,
1,6/10/2020,29003,Land Van Cuijk,184,
1,6/10/2020,30007,Bosscherveld,399,
1,6/10/2020,5012,Oldenzaal,0,
1,6/10/2020,30020,Venray,29,
1,6/10/2020,4026,Zwolle,0,
1,6/11/2020,25020,Kaatsheuvel,157,
1,6/11/2020,4027,Tollebeek,567,
1,6/11/2020,21001,Walcheren,246,
1,6/12/2020,2032,Harlingen,0,
1,6/12/2020,2011,Leeuwarden,0,
1,6/14/2020,10027,Amersfoort,369,
1,6/14/2020,1033,Garmerwolde,0,
1,6/14/2020,23002,Terneuzen,0,
1,6/15/2020,27008,'S Hertogenbosch,0,
1,6/15/2020,28005,Dinther,0,
1,6/15/2020,13010,Haarlem Waarderpolder,0,
1,6/15/2020,15005,Houtrust,153,
1,6/15/2020,13030,Leimuiden,0,
1,6/15/2020,32002,Tilburg,94,
1,6/15/2020,4026,Zwolle,65,
1,6/16/2020,9016,Arnhem,196,
1,6/16/2020,12022,Beverwijk,0,
1,6/16/2020,25027,Lage Zwaluwe,73,
1,6/16/2020,10009,Utrecht,168,
1,6/17/2020,3010,Assen,0,
1,6/17/2020,7022,Etten,0,
1,6/17/2020,2032,Harlingen,0,
1,6/17/2020,29003,Land Van Cuijk,94,
1,6/17/2020,2011,Leeuwarden,81,
1,6/17/2020,30007,Bosscherveld,46,
1,6/17/2020,1008,Stadskanaal,0,
1,6/17/2020,4027,Tollebeek,0,
1,6/17/2020,30020,Venray,29,
1,6/18/2020,25020,Kaatsheuvel,0,
1,6/18/2020,5012,Oldenzaal,0,
1,6/18/2020,3028,Sleen,0,
1,6/18/2020,23002,Terneuzen,0,
1,6/18/2020,21001,Walcheren,0,
1,6/19/2020,1033,Garmerwolde,0,
1,6/21/2020,10027,Amersfoort,0,
1,6/21/2020,27008,'S Hertogenbosch,80,
1,6/21/2020,28005,Dinther,304,
1,6/21/2020,13010,Haarlem Waarderpolder,0,
1,6/21/2020,2011,Leeuwarden,0,
1,6/21/2020,6004,Lelystad,90,
1,6/22/2020,9016,Arnhem,0,
1,6/22/2020,12022,Beverwijk,0,
1,6/22/2020,15005,Houtrust,0,
1,6/22/2020,13030,Leimuiden,30,
1,6/22/2020,32002,Tilburg,50,
1,6/23/2020,3010,Assen,0,
1,6/23/2020,25020,Kaatsheuvel,135,
1,6/23/2020,25027,Lage Zwaluwe,0,
1,6/23/2020,5012,Oldenzaal,0,
1,6/23/2020,3028,Sleen,0,
1,6/23/2020,1008,Stadskanaal,0,
1,6/23/2020,4027,Tollebeek,129,
1,6/23/2020,10009,Utrecht,24,
1,6/23/2020,21001,Walcheren,0,
1,6/23/2020,4026,Zwolle,0,
1,6/24/2020,7022,Etten,0,
1,6/24/2020,30007,Bosscherveld,0,
1,6/24/2020,23002,Terneuzen,0,
1,6/24/2020,30020,Venray,0,
1,6/27/2020,13010,Haarlem Waarderpolder,142,
1,6/27/2020,2032,Harlingen,0,
1,6/27/2020,6004,Lelystad,0,
1,6/28/2020,10027,Amersfoort,0,
1,6/28/2020,9016,Arnhem,0,
1,6/28/2020,12022,Beverwijk,0,
1,6/28/2020,27008,'S Hertogenbosch,0,
1,6/28/2020,28005,Dinther,66,
1,6/28/2020,1033,Garmerwolde,0,
1,6/28/2020,15005,Houtrust,287,
1,6/28/2020,29003,Land Van Cuijk,0,
1,6/28/2020,21001,Walcheren,0,
1,6/29/2020,13030,Leimuiden,137,
1,6/29/2020,23002,Terneuzen,0,
1,6/29/2020,32002,Tilburg,0,
1,6/29/2020,4027,Tollebeek,38,
1,6/30/2020,5012,Oldenzaal,0,
1,6/30/2020,3028,Sleen,0,
1,6/30/2020,10009,Utrecht,0,
1,6/30/2020,4026,Zwolle,23,
1,7/1/2020,7022,Etten,0,
1,7/1/2020,25020,Kaatsheuvel,0,
1,7/1/2020,25027,Lage Zwaluwe,0,
1,7/1/2020,29003,Land Van Cuijk,0,
1,7/1/2020,30007,Bosscherveld,0,
1,7/1/2020,30020,Venray,0,
1,7/2/2020,3010,Assen,0,
1,7/2/2020,27008,'S Hertogenbosch,172,
1,7/2/2020,28005,Dinther,0,
1,7/2/2020,1008,Stadskanaal,0,
1,7/5/2020,10027,Amersfoort,0,
1,7/5/2020,9016,Arnhem,0,
1,7/5/2020,12022,Beverwijk,0,
1,7/5/2020,13010,Haarlem Waarderpolder,0,
1,7/5/2020,2032,Harlingen,0,
1,7/5/2020,2011,Leeuwarden,0,
1,7/5/2020,23002,Terneuzen,0,
1,7/6/2020,15005,Houtrust,174,
1,7/6/2020,3028,Sleen,0,
1,7/6/2020,32002,Tilburg,0,
1,7/7/2020,1034,Feerwerd,0,
1,7/7/2020,25020,Kaatsheuvel,0,
1,7/7/2020,25027,Lage Zwaluwe,0,
1,7/7/2020,29003,Land Van Cuijk,0,
1,7/7/2020,13033,Leiden Zuid-West,0,
1,7/7/2020,10009,Utrecht,138,
1,7/7/2020,21001,Walcheren,0,
1,7/7/2020,4026,Zwolle,0,
1,7/8/2020,27008,'S Hertogenbosch,156,
1,7/8/2020,28005,Dinther,100,
1,7/8/2020,7022,Etten,0,
1,7/8/2020,1033,Garmerwolde,0,
1,7/8/2020,13030,Leimuiden,0,
1,7/8/2020,6004,Lelystad,0,
1,7/8/2020,30007,Bosscherveld,0,
1,7/8/2020,4027,Tollebeek,0,
1,7/8/2020,30020,Venray,0,
1,7/9/2020,3010,Assen,0,
1,7/9/2020,12022,Beverwijk,0,
1,7/9/2020,1008,Stadskanaal,0,
1,7/10/2020,9016,Arnhem,0,
1,7/11/2020,13010,Haarlem Waarderpolder,0,
1,7/12/2020,10027,Amersfoort,0,
1,7/12/2020,2032,Harlingen,0,
1,7/12/2020,2011,Leeuwarden,0,
1,7/12/2020,4027,Tollebeek,0,
1,7/13/2020,1033,Garmerwolde,78,
1,7/13/2020,25020,Kaatsheuvel,50,
1,7/13/2020,25027,Lage Zwaluwe,0,
1,7/13/2020,29003,Land Van Cuijk,0,
1,7/13/2020,23002,Terneuzen,172,
1,7/13/2020,32002,Tilburg,120,
1,7/13/2020,21001,Walcheren,0,
1,7/13/2020,15005,Houtrust,199,
1,7/14/2020,27008,'S Hertogenbosch,0,
1,7/14/2020,28005,Dinther,0,
1,7/14/2020,6004,Lelystad,0,
1,7/14/2020,10009,Utrecht,98,
1,7/14/2020,5012,Oldenzaal,0,
1,7/15/2020,9016,Arnhem,0,
1,7/15/2020,12022,Beverwijk,0,
1,7/15/2020,7022,Etten,0,
1,7/15/2020,13030,Leimuiden,0,
1,7/15/2020,30007,Bosscherveld,0,
1,7/15/2020,3028,Sleen,0,
1,7/15/2020,30020,Venray,0,
1,7/15/2020,4026,Zwolle,0,
1,7/16/2020,3010,Assen,0,
1,7/16/2020,13010,Haarlem Waarderpolder,0,
1,7/16/2020,13033,Leiden Zuid-West,260,
1,7/16/2020,1008,Stadskanaal,0,
1,7/17/2020,2015,Gorredijk,0,
1,7/17/2020,4027,Tollebeek,0,
1,7/18/2020,10027,Amersfoort,141,
1,7/18/2020,15007,De Groote Lucht,25,
1,7/18/2020,10008,Driebergen,0,
1,7/18/2020,8021,Ede,0,
1,7/18/2020,32002,Tilburg,187,
1,7/18/2020,10020,Woudenberg,0,
1,7/19/2020,9017,Bergharen,136,
1,7/19/2020,29003,Land Van Cuijk,0,
1,7/19/2020,17011,Ridderkerk,391,
1,7/19/2020,21001,Walcheren,0,
1,7/20/2020,28003,Aarle-Rixtel,345,
1,7/20/2020,8022,Apeldoorn,0,
1,7/20/2020,9013,Asperen,127,
1,7/20/2020,28002,Asten,20,
1,7/20/2020,27008,'S Hertogenbosch,47,
1,7/20/2020,28005,Dinther,0,
1,7/20/2020,8017,Epe,0,
1,7/20/2020,1033,Garmerwolde,171,
1,7/20/2020,15008,Harnaschpolder,132,
1,7/20/2020,15005,Houtrust,207,
1,7/20/2020,6004,Lelystad,113,
1,7/20/2020,17054,Piershil,0,
1,7/20/2020,27010,Sint-Oedenrode,0,
1,7/20/2020,2037,Warns,76,
1,7/21/2020,12006,Alkmaar,136,
1,7/21/2020,11014,Amsterdam West,434,
1,7/21/2020,25021,Bath,0,
1,7/21/2020,12022,Beverwijk,0,
1,7/21/2020,11008,Blaricum,0,
1,7/21/2020,4019,Deventer,345,
1,7/21/2020,3033,Echten,0,
1,7/21/2020,5002,Enschede,0,
1,7/21/2020,2038,Franeker,0,
1,7/21/2020,2032,Harlingen,0,
1,7/21/2020,25020,Kaatsheuvel,2572,
