municipality,population,GM_code
Oisterwijk,26245,GM0824
Oldambt,38209,GM1895
Oldebroek,23646,GM0269
Oldenzaal,31836,GM0173
Olst-Wijhe,18252,GM1773
Ommen,18009,GM0175
Oost Gelre,29627,GM1586
Oosterhout,55982,GM0826
Ooststellingwerf,25469,GM0085
Oostzaan,9735,GM0431
Opmeer,11836,GM0432
Opsterland,29733,GM0086
Oss,91915,GM0828
Oude IJsselstreek,39388,GM1509
Ouder-Amstel,14026,GM0437
Oudewater,10230,GM0589
Overbetuwe,47906,GM1734
Papendrecht,32136,GM0590
Peel en Maas,43425,GM1894
Pekela,12196,GM0765
Pijnacker-Nootdorp,55308,GM1926
Purmerend,81249,GM0439
Putten,24112,GM0273
Raalte,37712,GM0177
Reimerswaal,22730,GM0703
Renkum,31419,GM0274
Renswoude,5444,GM0339
Reusel-De Mierden,13112,GM1667
Rheden,43761,GM0275
Rhenen,20119,GM0340
Ridderkerk,46189,GM0597
Rijssen-Holten,38177,GM1742
Rijswijk,54450,GM0603
Roerdalen,20574,GM1669
Roermond,58260,GM0957
Roosendaal,77251,GM1674
Rotterdam,651168,GM0599
Rozendaal,1704,GM0277
Rucphen,22878,GM0840
Schagen,46483,GM0441
Scherpenzeel,9880,GM0279
Schiedam,78730,GM0606
Schiermonnikoog,947,GM0088
Schouwen-Duiveland,33839,GM1676
's-Gravenhage,545838,GM0518
's-Hertogenbosch,155111,GM0796
Simpelveld,10555,GM0965
Sint Anthonis,11664,GM1702
Sint-Michielsgestel,29208,GM0845
Sittard-Geleen,92429,GM1883
Sliedrecht,25220,GM0610
Sluis,23210,GM1714
Smallingerland,56150,GM0090
Soest,46606,GM0342
Someren,19368,GM0847
Son en Breugel,17322,GM0848
Stadskanaal,31686,GM0037
Staphorst,17145,GM0180
Stede Broec,21726,GM0532
Steenbergen,24416,GM0851
Steenwijkerland,44126,GM1708
Stein,25007,GM0971
Stichtse Vecht,64931,GM1904
Súdwest-Fryslân,89987,GM1900
Terneuzen,54426,GM0715
Terschelling,4888,GM0093
Texel,13575,GM0448
Teylingen,37440,GM1525
Tholen,25757,GM0716
Tiel,42159,GM0281
Tilburg,219789,GM0855
Tubbergen,21275,GM0183
Twenterand,33743,GM1700
Tynaarlo,33887,GM1730
Tytsjerksteradiel,32052,GM0737
Uden,42119,GM0856
Uitgeest,13666,GM0450
Uithoorn,29478,GM0451
Urk,21031,GM0184
Utrecht,357597,GM0344
Utrechtse Heuvelrug,49580,GM1581
Vaals,10105,GM0981
Valkenburg aan de Geul,16367,GM0994
Valkenswaard,31193,GM0858
Veendam,27384,GM0047
Veenendaal,66493,GM0345
Veere,21880,GM0717
Veldhoven,45466,GM0861
Velsen,68648,GM0453
Venlo,101802,GM0983
Venray,43614,GM0984
Vijfheerenlanden,56811,GM1961
Vlaardingen,73397,GM0622
Vlieland,1155,GM0096
Vlissingen,44360,GM0718
Voerendaal,12475,GM0986
Voorschoten,25596,GM0626
Voorst,24552,GM0285
Vught,26558,GM0865
Waadhoeke,46090,GM1949
Waalre,17456,GM0866
Waalwijk,48637,GM0867
Waddinxveen,29291,GM0627
Wageningen,39664,GM0289
Wassenaar,26305,GM0629
Waterland,17424,GM0852
Weert,50105,GM0988
Weesp,19738,GM0457
West Betuwe,51128,GM1960
West Maas en Waal,19324,GM0668
Westerkwartier,63329,GM1969
Westerveld,19460,GM1701
Westervoort,14971,GM0293
Westerwolde,25733,GM1950
Westland,110375,GM1783
Weststellingwerf,25914,GM0098
Westvoorne,14731,GM0614
Wierden,24446,GM0189
Wijchen,41110,GM0296
Wijdemeren,24358,GM1696
Wijk bij Duurstede,23914,GM0352
Winterswijk,28854,GM0294
Woensdrecht,21876,GM0873
Woerden,52299,GM0632
Wormerland,16270,GM0880
Woudenberg,13362,GM0351
Zaanstad,156794,GM0479
Zaltbommel,28881,GM0297
Zandvoort,17116,GM0473
Zeewolde,22653,GM0050
Zeist,64905,GM0355
Zevenaar,43750,GM0299
Zoetermeer,125285,GM0637
Zoeterwoude,8605,GM0638
Zuidplas,43885,GM1892
Zundert,21829,GM0879
Zutphen,47934,GM0301
Zwartewaterland,22685,GM1896
Zwijndrecht,44737,GM0642
Zwolle,128840,GM0193
