GM_name,municipality_name
GM1641,Maasgouw
GM1652,Gemert-Bakel
GM1655,Halderberge
GM1658,Heeze-Leende
GM1659,Laarbeek
GM1667,Reusel-De Mierden
GM1669,Roerdalen
GM1674,Roosendaal
GM1676,Schouwen-Duiveland
GM1680,Aa en Hunze
GM1681,Borger-Odoorn
GM1684,Cuijk
GM1685,Landerd
GM1690,De Wolden
GM1695,Noord-Beveland
GM1696,Wijdemeren
GM1699,Noordenveld
GM1700,Twenterand
GM1701,Westerveld
GM1702,Sint Anthonis
GM1705,Lingewaard
GM1706,Cranendonck
GM1708,Steenwijkerland
GM1709,Moerdijk
GM1711,Echt-Susteren
GM1714,Sluis
GM1719,Drimmelen
GM1721,Bernheze
GM1723,Alphen-Chaam
GM1724,Bergeijk
GM1728,Bladel
GM1729,Gulpen-Wittem
GM1730,Tynaarlo
GM1731,Midden-Drenthe
GM1734,Overbetuwe
GM1735,Hof van Twente
GM1740,Neder-Betuwe
GM1742,Rijssen-Holten
GM1771,Geldrop-Mierlo
GM1773,Olst-Wijhe
GM1774,Dinkelland
GM1783,Westland
GM1842,Midden-Delfland
GM1859,Berkelland
GM1876,Bronckhorst
GM1883,Sittard-Geleen
GM1884,Kaag en Braassem
GM1891,Dantumadiel
GM1892,Zuidplas
GM1894,Peel en Maas
GM1895,Oldambt
GM1896,Zwartewaterland
GM1900,Súdwest-Fryslân
GM1901,Bodegraven-Reeuwijk
GM1903,Eijsden-Margraten
GM1904,Stichtse Vecht
GM1911,Hollands Kroon
GM1916,Leidschendam-Voorburg
GM1924,Goeree-Overflakkee
GM1926,Pijnacker-Nootdorp
GM1930,Nissewaard
GM1931,Krimpenerwaard
GM1940,De Fryske Marren
GM1942,Gooise Meren
GM1945,Berg en Dal
GM1948,Meierijstad
GM1949,Waadhoeke
GM1950,Westerwolde
GM1952,Midden-Groningen
GM1954,Beekdaelen
GM1955,Montferland
GM1959,Altena
GM1960,West Betuwe
GM1961,Vijfheerenlanden
GM1963,Hoeksche Waard
GM1966,Het Hogeland
GM1969,Westerkwartier
GM1970,Noardeast-Fryslân
GM1978,Molenlanden
GM1979,Eemsdelta
VR01,Groningen
VR02,Fryslân
VR03,Drenthe
VR04,IJsselland
VR05,Twente
VR06,Noord- en Oost-Gelderland
VR07,Gelderland-Midden
VR08,Gelderland-Zuid
VR09,Utrecht
VR10,Noord-Holland-Noord
VR11,Zaanstreek-Waterland
VR12,Kennemerland
VR13,Amsterdam-Amstelland
VR14,Gooi en Vechtstreek
VR15,Haaglanden
VR16,Hollands-Midden
VR17,Rotterdam-Rijnmond
VR18,Zuid-Holland-Zuid
VR19,Zeeland
VR20,Midden- en West-Brabant
VR21,Brabant-Noord
VR22,Brabant-Zuidoost
VR23,Limburg-Noord
VR24,Limburg-Zuid
VR25,Flevoland
